"ABC BRASIL","N2","2/6/2020","2/6/2020","2/6/2020","2/6/2020","4/17/2020","4/17/2020","5/29/2020","5/29/2020","11/1/2020","","5/14/2020","5/14/2020","8/7/2020","","11/9/2020","","","","","","","","",""
"AES TIETE E","N2","2/27/2020","2/27/2020","2/27/2020","2/27/2020","7/31/2020","7/31/2020","7/30/2020","7/30/2020","11/16/2020","","5/6/2020","5/6/2020","8/5/2020","","11/4/2020","","","","","","","","",""
"ALIANSCSONAE","NM","3/11/2020","3/11/2020","3/11/2020","3/11/2020","4/30/2020","4/30/2020","6/30/2020","6/30/2020","","","5/20/2020","5/20/2020","8/12/2020","","11/4/2020","","3/12/2020","","5/21/2020","","8/13/2020","","11/5/2020",""
"ALLIAR","NM","3/17/2020","3/17/2020","3/17/2020","3/17/2020","4/27/2020","4/27/2020","7/31/2020","7/31/2020","","","5/19/2020","5/19/2020","8/20/2020","","11/5/2020","","3/18/2020","","5/13/2020","","8/21/2020","","11/6/2020",""
"ALPARGATAS","N1","2/7/2020","2/7/2020","2/7/2020","2/7/2020","4/30/2020","4/30/2020","6/5/2020","6/5/2020","12/1/2020","","5/5/2020","5/5/2020","8/4/2020","","11/4/2020","","","","","","","","",""
"ALPER S.A.","NM","3/26/2020","3/26/2020","3/26/2020","3/26/2020","6/15/2020","6/15/2020","6/25/2020","6/25/2020","","","5/7/2020","5/7/2020","8/13/2020","","11/4/2020","","3/27/2020","","5/8/2020","","8/14/2020","","11/5/2020",""
"ALUPAR","N2","3/11/2020","3/11/2020","3/11/2020","3/11/2020","4/27/2020","4/27/2020","7/31/2020","7/31/2020","11/30/2020","","6/1/2020","6/1/2020","8/12/2020","","11/11/2020","","","","","","","","",""
"AMBIPAR","NM","2/20/2020","2/20/2020","2/20/2020","2/20/2020","6/18/2020","6/18/2020","4/30/2020","4/30/2020","","","5/13/2020","5/13/2020","8/10/2020","","11/16/2020","","2/20/2020","","5/13/2020","","8/11/2020","","11/24/2020",""
"ANIMA","NM","3/11/2020","3/11/2020","3/11/2020","3/11/2020","4/24/2020","4/29/2020","7/31/2020","7/31/2020","","","5/14/2020","5/14/2020","8/13/2020","","11/12/2020","","3/11/2020","","5/15/2020","","8/14/2020","","11/13/2020",""
"AREZZO CO","NM","3/4/2020","3/4/2020","3/4/2020","3/4/2020","4/30/2020","4/30/2020","6/30/2020","6/30/2020","","","5/27/2020","5/27/2020","8/13/2020","","10/28/2020","","3/5/2020","","5/28/2020","","8/14/2020","","10/29/2020",""
"ATMASA","NM","3/19/2020","3/19/2020","3/19/2020","3/19/2020","4/30/2020","4/30/2020","7/31/2020","8/1/2020","","","6/29/2020","6/29/2020","8/21/2020","","11/16/2020","","3/20/2020","","6/30/2020","","8/24/2020","","11/17/2020",""
"AZUL","N2","3/12/2020","3/12/2020","3/12/2020","3/12/2020","4/29/2020","4/29/2020","5/29/2020","5/29/2020","10/14/2020","","5/14/2020","5/14/2020","8/13/2020","","11/5/2020","","","","","","","","",""
"B2W DIGITAL","NM","2/20/2020","2/20/2020","2/20/2020","2/20/2020","4/30/2020","4/30/2020","5/29/2020","5/29/2020","","","5/7/2020","5/7/2020","8/13/2020","","11/5/2020","","2/21/2020","","5/8/2020","","8/14/2020","","11/6/2020",""
"B3","NM","3/5/2020","3/5/2020","3/5/2020","3/5/2020","4/30/2020","4/30/2020","5/29/2020","5/29/2020","","","5/14/2020","5/14/2020","8/13/2020","","11/12/2020","","3/6/2020","","5/15/2020","","8/14/2020","","11/13/2020",""
"BAHEMA","MA","3/30/2020","3/30/2020","3/30/2020","3/30/2020","4/30/2020","4/30/2020","5/31/2020","5/31/2020","","","5/22/2020","5/22/2020","8/28/2020","","11/13/2020","","","","","","","","",""
"BANCO BMG","N1","2/13/2020","2/13/2020","2/13/2020","2/13/2020","4/30/2020","4/30/2020","6/30/2020","6/30/2020","2/14/2020","2/13/2020","5/7/2020","5/7/2020","8/6/2020","","11/5/2020","","","","","","","","",""
