NOME DE PREGÃO,SEGMENTO,Demonstrações Financeiras do Exercício,Unnamed: 3,Unnamed: 4,Unnamed: 5,Assembléia Geral Ordinária,Unnamed: 7,Formulário de Referência,Unnamed: 9,Reunião Pública com Analistas,Unnamed: 11,Informações do 1º Trimestre - ITR,Unnamed: 13,Informações do 2º Trimestre - ITR,Unnamed: 15,Informações do 3º Trimestre - ITR,Unnamed: 17,Apresentação Pública sobre Divulgação de Resultados,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Atualizado,2020-10-16 00:00:00
,,Demonstrações Financeiras Anuais Completas,,Padronizadas - DFP,,,,,,,,,,,,,,Exercício Social,,1º trimestre,,2º trimestre,,3º trimestre,,,,
,,Previsão,Entrega,Previsão,Entrega,Previsão,Realização ,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Entrega,Previsão,Entrega,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,,,
ABC BRASIL,N2,2020-02-06 00:00:00,2020-02-06 00:00:00,2020-02-06 00:00:00,2020-02-06 00:00:00,2020-04-17 00:00:00,2020-04-17 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,2020-11-01 00:00:00,,2020-05-14 00:00:00,2020-05-14 00:00:00,2020-08-07 00:00:00,2020-08-07 00:00:00,2020-11-04 00:00:00,,,,,,,,,,,,
AES TIETE E,N2,2020-02-27 00:00:00,2020-02-27 00:00:00,2020-02-27 00:00:00,2020-02-27 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,2020-07-30 00:00:00,2020-07-30 00:00:00,2020-11-16 00:00:00,,2020-05-06 00:00:00,2020-05-06 00:00:00,2020-08-05 00:00:00,2020-08-05 00:00:00,2020-11-05 00:00:00,,,,,,,,,,,,
ALIANSCSONAE,NM,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,2020-04-30 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,,,2020-05-20 00:00:00,2020-05-20 00:00:00,2020-08-12 00:00:00,2020-08-12 00:00:00,2020-11-11 00:00:00,,2020-03-12 00:00:00,,2020-05-21 00:00:00,2020-05-21 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-12 00:00:00,,,,
ALLIAR,NM,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-04-27 00:00:00,2020-04-27 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,,,2020-05-19 00:00:00,2020-05-19 00:00:00,2020-08-20 00:00:00,2020-08-20 00:00:00,2020-11-12 00:00:00,,2020-03-18 00:00:00,,2020-05-13 00:00:00,2020-05-20 00:00:00,2020-08-21 00:00:00,2020-08-21 00:00:00,2020-11-13 00:00:00,,,,
ALPARGATAS,N1,2020-02-07 00:00:00,2020-02-07 00:00:00,2020-02-07 00:00:00,2020-02-07 00:00:00,2020-04-30 00:00:00,2020-04-30 00:00:00,2020-06-05 00:00:00,2020-06-05 00:00:00,2020-12-01 00:00:00,,2020-05-05 00:00:00,2020-05-05 00:00:00,2020-08-04 00:00:00,2020-08-04 00:00:00,2020-11-04 00:00:00,,,,,,,,,,,,
ALPER S.A.,NM,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-06-15 00:00:00,2020-06-15 00:00:00,2020-06-25 00:00:00,2020-06-25 00:00:00,,,2020-05-07 00:00:00,2020-05-07 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-04 00:00:00,,2020-03-27 00:00:00,,2020-05-08 00:00:00,2020-05-08 00:00:00,2020-08-14 00:00:00,2020-08-14 00:00:00,2020-11-05 00:00:00,,,,
ALUPAR,N2,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-04-27 00:00:00,2020-04-27 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,2020-12-08 00:00:00,,2020-06-01 00:00:00,2020-06-01 00:00:00,2020-08-12 00:00:00,2020-08-12 00:00:00,2020-11-11 00:00:00,,,,,,,,,,,,
AMBIPAR,NM,2020-02-20 00:00:00,2020-02-20 00:00:00,2020-02-20 00:00:00,2020-02-20 00:00:00,2020-06-18 00:00:00,2020-06-18 00:00:00,2020-04-30 00:00:00,2020-04-30 00:00:00,,,2020-05-13 00:00:00,2020-05-13 00:00:00,2020-08-10 00:00:00,2020-08-10 00:00:00,2020-11-11 00:00:00,,2020-02-20 00:00:00,,2020-05-13 00:00:00,,2020-08-11 00:00:00,,2020-11-12 00:00:00,,,,
